time,enrolled,available,waitlisted,total
2024-02-24T03:46:58,0,9999,0,9999
2024-02-24T04:02:20,0,9999,0,9999
2024-02-24T04:26:22,0,9999,0,9999
2024-02-24T04:43:45,0,9999,0,9999
2024-02-24T04:59:08,0,9999,0,9999
2024-02-24T05:14:32,0,9999,0,9999
2024-02-24T05:29:54,0,9999,0,9999
2024-02-24T05:45:16,0,9999,0,9999
2024-02-24T06:00:39,0,9999,0,9999
2024-02-24T06:16:04,0,9999,0,9999
2024-02-24T06:31:24,0,9999,0,9999
2024-02-24T06:46:46,0,9999,0,9999
2024-02-24T07:02:08,0,9999,0,9999
2024-02-24T07:17:30,0,9999,0,9999
2024-02-24T07:32:52,0,9999,0,9999
2024-02-24T07:48:12,0,9999,0,9999
2024-02-24T08:03:33,0,9999,0,9999
2024-02-24T08:19:03,0,9999,0,9999
2024-02-24T08:34:24,0,9999,0,9999
2024-02-24T08:49:46,0,9999,0,9999
2024-02-24T09:05:08,0,9999,0,9999
2024-02-24T09:20:29,0,9999,0,9999
2024-02-24T09:35:50,0,9999,0,9999
2024-02-24T09:51:11,0,9999,0,9999
2024-02-24T10:06:32,0,9999,0,9999
2024-02-24T10:21:53,0,9999,0,9999
2024-02-24T10:37:14,0,9999,0,9999
2024-02-24T10:52:34,0,9999,0,9999
2024-02-24T11:07:54,0,9999,0,9999
2024-02-24T11:23:15,0,9999,0,9999
2024-02-24T11:38:45,0,9999,0,9999
2024-02-24T11:54:05,0,9999,0,9999
2024-02-24T12:09:25,0,9999,0,9999
2024-02-24T12:24:44,0,9999,0,9999
2024-02-24T12:40:03,0,9999,0,9999
2024-02-24T12:55:23,0,9999,0,9999
2024-02-24T13:10:42,0,9999,0,9999
2024-02-24T13:26:01,0,9999,0,9999
2024-02-24T13:41:31,0,9999,0,9999
2024-02-24T13:56:49,0,9999,0,9999
2024-02-24T14:12:08,0,9999,0,9999
2024-02-24T14:27:28,0,9999,0,9999
2024-02-24T14:42:47,0,9999,0,9999
2024-02-24T14:58:06,0,9999,0,9999
2024-02-24T15:13:25,0,9999,0,9999
2024-02-24T15:28:57,0,9999,0,9999
2024-02-24T15:44:16,0,9999,0,9999
2024-02-24T15:59:35,0,9999,0,9999
2024-02-24T16:14:54,0,9999,0,9999
2024-02-24T16:30:13,0,9999,0,9999
2024-02-24T16:45:32,0,9999,0,9999
2024-02-24T17:00:51,0,9999,0,9999
2024-02-24T17:16:12,0,9999,0,9999
2024-02-24T17:31:40,0,9999,0,9999
2024-02-24T17:46:59,0,9999,0,9999
2024-02-24T18:02:18,0,9999,0,9999
2024-02-24T18:17:39,0,9999,0,9999
2024-02-24T18:32:59,0,9999,0,9999
2024-02-24T18:48:18,0,9999,0,9999
2024-02-24T19:03:38,0,9999,0,9999
2024-02-24T19:18:58,0,9999,0,9999
2024-02-24T19:34:18,0,9999,0,9999
2024-02-24T19:49:37,0,9999,0,9999
2024-02-24T20:05:06,0,9999,0,9999
2024-02-24T20:20:28,0,9999,0,9999
2024-02-24T20:35:47,0,9999,0,9999
2024-02-24T20:51:07,0,9999,0,9999
2024-02-24T21:06:27,0,9999,0,9999
2024-02-24T21:21:47,0,9999,0,9999
2024-02-24T21:37:06,0,9999,0,9999
2024-02-24T21:52:25,0,9999,0,9999
2024-02-24T22:07:45,0,9999,0,9999
2024-02-24T22:23:05,0,9999,0,9999
2024-02-24T22:38:24,0,9999,0,9999
2024-02-24T22:53:52,0,9999,0,9999
2024-02-24T23:09:11,0,9999,0,9999
2024-02-24T23:24:30,0,9999,0,9999
2024-02-24T23:39:49,0,9999,0,9999
2024-02-24T23:55:08,0,9999,0,9999
2024-02-25T00:10:29,0,9999,0,9999
2024-02-25T00:25:51,0,9999,0,9999
2024-02-25T00:41:13,0,9999,0,9999
2024-02-25T00:56:33,0,9999,0,9999
2024-02-25T01:12:03,0,9999,0,9999
2024-02-25T01:27:23,0,9999,0,9999
2024-02-25T01:42:43,0,9999,0,9999
2024-02-25T01:58:03,0,9999,0,9999
2024-02-25T02:13:24,0,9999,0,9999
2024-02-25T02:28:45,0,9999,0,9999
2024-02-25T02:44:04,0,9999,0,9999
2024-02-25T02:59:24,0,9999,0,9999
2024-02-25T03:14:44,0,9999,0,9999
2024-02-25T03:30:04,0,9999,0,9999
2024-02-25T03:45:27,0,9999,0,9999
2024-02-25T04:00:51,0,9999,0,9999
